AssetId,Title,Category,Discipline,AssetType,RelativePath,Revision,ApprovalStatus,ApprovedBy,ApprovalDateUtc,UnitsPerMetre,Tags,Description,Sha256,IsActive
CE-DL-100,List of Drawings,Standard,Drawing Production,PDF,Drawings/General/CE-DL-100 - LIST OF DRAWINGS.pdf,Unconfirmed,ForReview,,,1,"drawing register,list of drawings,roads,sewer,water,stormwater",Controlled drawing register for the uploaded civil drawing set.,c2e7f7d3db72447d858733710b29ff8110593831aee9b0b210b0d653a0ceed9f,true
CE-GN-100,General Civil Notes,Standard,General Civil,PDF,Drawings/General/CE-GN-100 - GENERAL CIVIL NOTES.pdf,Unconfirmed,ForReview,,,1,"general notes,SANS 1200,roads,sewer,water,civil","General civil, road, sewer and water construction notes.",b7c0eca15e4015d01872819506eabf1aa39821826212b57ca72c4b815ac9e9a2,true
CE-R-103,Road Setting-Out Tables,Schedule,Road,PDF,Drawings/Road/CE-R-103 - ROADS SETTING-OUT TABLES.pdf,Unconfirmed,ForReview,,,1,"road,setting out,alignment,vertical alignment,junctions,coordinates",Road horizontal and vertical alignment data with junction setting-out tables.,723784907e138a2651dad14bca45ea95b0e33d004a0bd67778c6137d36bda005,true
CE-RD-100,Road Details,Typical Detail,Road,PDF,Drawings/Road/CE-RD-100 - ROAD DETAILS.pdf,Unconfirmed,ForReview,,,1,"road detail,cross section,layerworks,signs,2.5 percent crossfall","Road cross-sections, layerworks and road-sign installation details.",3498262b8dd6188aa895fa500d4aeb95fbbf81a18c39960f63d28aaea2775315,true
CE-S-103,Sewer Longitudinal Sections - 1,Design Drawing,Sewer,PDF,Drawings/Sewer/CE-S-103 - SEWER LONGITUDINAL SECTIONS - 1.pdf,Unconfirmed,ForReview,,,1,"sewer,long section,manholes,inverts,slopes,Class 34","Sewer longitudinal sections with manholes, invert levels, slopes and depths.",209b4bbe11a22fde4d72162b89f3b84697db35cf2c0cdad3f2fadecc1abe1cb0,true
CE-S-104,Sewer Longitudinal Sections - 2,Design Drawing,Sewer,PDF,Drawings/Sewer/CE-S-104 - SEWER LONGITUDINAL SECTIONS - 2.pdf,Unconfirmed,ForReview,,,1,"sewer,long section,manholes,inverts,slopes,Class 34",Continuation of sewer longitudinal sections with pipe and manhole data.,f141e5eaf8a1c80ee8b279b16f4beb95efb625591cbf7e6b8ce2ac613bce905b,true
CE-S-105,Sewer Longitudinal Sections - 3,Design Drawing,Sewer,PDF,Drawings/Sewer/CE-S-105 - SEWER LONGITUDINAL SECTIONS - 3.pdf,Unconfirmed,ForReview,,,1,"sewer,long section,manholes,inverts,slopes,Class 34",Additional sewer longitudinal sections and branch profiles.,40861190a1716ea28754ca10d3f6ed7ed08e6cfd3cb83e848a03ad27bd05c33d,true
CE-SD-100,Sewer Details - 1,Typical Detail,Sewer,PDF,Drawings/Sewer/CE-SD-100 - SEWER DETAILS - 1.pdf,Unconfirmed,ForReview,,,1,"sewer,manhole,brick manhole,drop manhole,benching","Standard sewer manhole, benching, cover and reinforcement details.",2aca0fdae32f1be83f181cbd4d38c9545cc630193a5002f7a443919e94e93b01,true
CE-SD-101,Sewer Details - 2,Typical Detail,Sewer,PDF,Drawings/Sewer/CE-SD-101 - SEWER DETAILS - 2.pdf,Unconfirmed,ForReview,,,1,"sewer,erf connection,marker,channeling,house connection","Sewer erf connections, marker and typical manhole channeling details.",fb3b616d7ec162a515bfda6a0d3bc98211fcbe62eef758298bd823adff7f4f85,true
CE-SD-102,Sewer Details - 3,Typical Detail,Sewer,PDF,Drawings/Sewer/CE-SD-102 - SEWER DETAILS - 3.pdf,Unconfirmed,ForReview,,,1,"sewer,trench,bedding,backfill,encasement,cover","Sewer trench excavation, bedding, backfill, cover and encasement standards.",1ea2800555361f855a79cd494b9808f5169c9e1a396d59456f2aec645940ec34,true
CE-SD-103,Sewer Details - 4,Typical Detail,Sewer,PDF,Drawings/Sewer/CE-SD-103 - SEWER DETAILS - 4.pdf,Unconfirmed,ForReview,,,1,"sewer,pump station,wet well,pumps,equipment schedule",Sewage pump-station civil and equipment details.,bab9856d870d61a74652621bf55efc76754ddefd33574b4eeb230860a2869017,true
CE-SWD-100,Stormwater Details,Typical Detail,Stormwater,PDF,Drawings/Stormwater/CE-SWD-100 - SW DETAILS.pdf,Unconfirmed,ForReview,,,1,"stormwater,drift,concrete slab,joints,stone pitching","Stormwater drift, slab-joint, edge-beam and stone-pitching details.",909d8032d80f7066ac12ddf6b3b2e643babb9152b632998ef0b66976dde1b06e,true
